Date,Merchant,Amount,Category
2026-01-01,BigBasket,1250,Food
2026-01-01,Uber,180,Travel
2026-01-02,Zomato,420,Food
2026-01-02,Jio,399,Subscriptions
2026-01-03,Swiggy,350,Food
2026-01-03,Ola,220,Travel
2026-01-04,Amazon,2800,Shopping
2026-01-04,Zomato,280,Food
2026-01-05,Netflix,649,Subscriptions
2026-01-05,Uber,190,Travel
2026-01-05,Swiggy,310,Food
2026-01-06,Flipkart,1450,Shopping
2026-01-06,Zomato,380,Food
2026-01-07,Ola,260,Travel
2026-01-07,Spotify,119,Subscriptions
2026-01-08,Swiggy,290,Food
2026-01-08,PVR,550,Entertainment
2026-01-09,Zomato,410,Food
2026-01-09,Uber,200,Travel
2026-01-10,BigBasket,980,Food
2026-01-10,Apollo Pharmacy,350,Health
2026-01-11,Amazon,4500,Shopping
2026-01-11,Swiggy,520,Food
2026-01-11,Ola,340,Travel
2026-01-12,Zomato,380,Food
2026-01-12,Uber,240,Travel
2026-01-12,BookMyShow,800,Entertainment
2026-01-13,Swiggy,290,Food
2026-01-13,Electricity Bill,1800,Utilities
2026-01-14,Zomato,350,Food
2026-01-14,Ola,180,Travel
2026-01-15,Amazon,1200,Shopping
2026-01-15,Swiggy,440,Food
2026-01-16,Uber,210,Travel
2026-01-16,Zomato,320,Food
2026-01-17,BigBasket,890,Food
2026-01-17,Hotstar,299,Subscriptions
2026-01-18,Swiggy,360,Food
2026-01-18,Flipkart,6200,Shopping
2026-01-18,Ola,280,Travel
2026-01-19,Zomato,400,Food
2026-01-19,Uber,320,Travel
2026-01-19,PVR,650,Entertainment
2026-01-20,Swiggy,280,Food
2026-01-20,Water Bill,450,Utilities
2026-01-21,Zomato,340,Food
2026-01-21,Ola,190,Travel
2026-01-22,Amazon,980,Shopping
2026-01-22,Swiggy,310,Food
2026-01-23,Uber,170,Travel
2026-01-23,Zomato,390,Food
2026-01-24,BigBasket,1100,Food
2026-01-24,1mg,520,Health
2026-01-25,Swiggy,480,Food
2026-01-25,Ola,350,Travel
2026-01-25,Amazon,3200,Shopping
2026-01-26,Zomato,360,Food
2026-01-26,Uber,290,Travel
2026-01-26,BookMyShow,900,Entertainment
2026-01-27,Swiggy,300,Food
2026-01-27,Gas Bill,680,Utilities
2026-01-28,Zomato,330,Food
2026-01-28,Ola,200,Travel
2026-01-29,Flipkart,1800,Shopping
2026-01-29,Swiggy,270,Food
2026-01-29,Netflix,649,Subscriptions
2026-01-30,Zomato,410,Food
2026-01-30,Uber,230,Travel
2026-01-30,BigBasket,1050,Food
2026-01-30,Apollo Pharmacy,280,Health
